screen,src_file,src_line,function,add_func,symbol,args,guards,rt_seen,rt_hit_count,rt_type,rt_x1,rt_y1,rt_x2,rt_y2,rt_click_cx,rt_click_cy,rt_hotkey,rt_hotkey_name,rt_help,rt_origin
Load_Screen,MoM/src/LoadScr.c,372,Load_Screen,Add_Hot_Key,hotkey_ESC,cnst_HOTKEY_Esc22,,1,1,7,500,500,500,500,500,500,27,ESCAPE,-1,Add_Hot_Key
Load_Screen,MoM/src/LoadScr.c,374,Load_Screen,Add_Hidden_Field,loadsave_quit_button,"x_start , y_start, (x_start + 39), (y_start + 13), str_empty_string__ovr160[0], ST_UNDEFINED",,1,1,7,43,171,82,184,62,177,0,,-1,Add_Hidden_Field
Load_Screen,MoM/src/LoadScr.c,375,Load_Screen,Add_Hidden_Field,loadsave_load_button,"(x_start + 40), y_start, (x_start + 78), (y_start + 13), str_empty_string__ovr160[0], ST_UNDEFINED",,1,1,7,83,171,121,184,102,177,0,,-1,Add_Hidden_Field
Load_Screen,MoM/src/LoadScr.c,376,Load_Screen,Add_Hidden_Field,loadsave_save_button,"122 , y_start, 159 , (y_start + 13), str_empty_string__ovr160[0], ST_UNDEFINED",,1,1,7,122,171,159,184,140,177,0,,-1,Add_Hidden_Field
Load_Screen,MoM/src/LoadScr.c,377,Load_Screen,Add_Hidden_Field,loadsave_ok_button,"231 , y_start, 270 , (y_start + 13), str_empty_string__ovr160[0], ST_UNDEFINED",,1,1,7,231,171,270,184,250,177,0,,-1,Add_Hidden_Field
Load_Screen,MoM/src/LoadScr.c,378,Load_Screen,Add_Hidden_Field,loadsave_settings_button,"172 , y_start, 229 , (y_start + 13), str_empty_string__ovr160[0], ST_UNDEFINED",,1,1,7,172,171,229,184,200,177,0,,-1,Add_Hidden_Field
Load_Screen,MoM/src/LoadScr.c,384,Load_Screen,Add_Continuous_String_Input_Field,save_slot_fields[itr_save_slot_fields],"x_start, (47 + (itr_save_slot_fields * 15)), 260, magic_set.Save_Names[itr_save_slot_fields], (LEN_SAVE_DESCRIPTION - 1), ST_TRANSPARENT, selection_marker, ST_UNDEFINED, ST_NULL",,1,8,11,43,47,303,56,173,51,0,,-1,Add_Continuous_String_Input_Field
