screen,src_file,src_line,function,add_func,symbol,args,guards,rt_seen,rt_hit_count,rt_type,rt_x1,rt_y1,rt_x2,rt_y2,rt_click_cx,rt_click_cy,rt_hotkey,rt_hotkey_name,rt_help,rt_origin
Chancellor_Screen__WIP,MoM/src/REPORT.c,508,Chancellor_Screen__WIP,Add_Hidden_Field,hotkey_U,"28, 9, 288, 25, str_hotkey_U__ovr126[0], ST_UNDEFINED",,0,0,,,,,,,,,,,
Chancellor_Screen__WIP,MoM/src/REPORT.c,510,Chancellor_Screen__WIP,Add_Hidden_Field,hotkey_D,"28, 170, 288, 190, str_hotkey_D__ovr126[0], ST_UNDEFINED",,0,0,,,,,,,,,,,
Chancellor_Screen__WIP,MoM/src/REPORT.c,522,Chancellor_Screen__WIP,Add_Hidden_Field,full_screen_ESC_field,"SCREEN_XMIN, SCREEN_YMIN, SCREEN_XMAX, SCREEN_YMAX, str_hotkey_ESC__ovr126[0], ST_UNDEFINED",,0,0,,,,,,,,,,,
