screen,src_file,src_line,function,add_func,symbol,args,guards,rt_seen,rt_hit_count,rt_type,rt_x1,rt_y1,rt_x2,rt_y2,rt_click_cx,rt_click_cy,rt_hotkey,rt_hotkey_name,rt_help,rt_origin
Lair_Confirm,MoM/src/Lair.c,1038,Lair_Confirm,Add_Button_Field,yes_button,"(message_box_x + 100), (tmp_text_y2 + 5), cnst_ZeroString_0, confirmation_button_yes_seg, 'Y', -1",,0,0,,,,,,,,,,,
Lair_Confirm,MoM/src/Lair.c,1041,Lair_Confirm,Add_Button_Field,no_button,"(message_box_x + 17), (tmp_text_y2 + 5), cnst_ZeroString_0, confirmation_button_no_seg, 'N', -1",,0,0,,,,,,,,,,,
Lair_Confirm,MoM/src/Lair.c,1044,Lair_Confirm,Add_Hidden_Field,Label_Ctrl_Index,"message_box_x, message_box_y, (message_box_x + 184), (tmp_text_y2 + 28), 0, -1",,0,0,,,,,,,,,,,
Lair_Confirm,MoM/src/Lair.c,1049,Lair_Confirm,Add_Hidden_Field,hotkey_ESC,"SCREEN_XMIN, SCREEN_YMIN, SCREEN_XMAX, SCREEN_YMAX, '\x1B', -1",,0,0,,,,,,,,,,,
