screen,src_file,src_line,function,add_func,symbol,args,guards,rt_seen,rt_hit_count,rt_type,rt_x1,rt_y1,rt_x2,rt_y2,rt_click_cx,rt_click_cy,rt_hotkey,rt_hotkey_name,rt_help,rt_origin
Apprentice_Screen__WIP,MoM/src/Spellbook.c,3112,Apprentice_Screen__WIP,Add_Hidden_Field,dogear_left_field,"15, 7, 30, 22, str_empty_string__ovr118[0], ST_UNDEFINED",,0,0,,,,,,,,,,,
Apprentice_Screen__WIP,MoM/src/Spellbook.c,3114,Apprentice_Screen__WIP,Add_Hidden_Field,dogear_right_field,"290, 7, 305, 22, str_empty_string__ovr118[0], ST_UNDEFINED",,0,0,,,,,,,,,,,
Apprentice_Screen__WIP,MoM/src/Spellbook.c,3116,Apprentice_Screen__WIP,Add_Hidden_Field,full_screen_ESC_field,"SCREEN_XMIN, 25, SCREEN_XMAX, SCREEN_YMAX, str_hotkey_ESC__ovr118[0], ST_UNDEFINED",,0,0,,,,,,,,,,,
