screen,src_file,src_line,function,add_func,symbol,args,guards,rt_seen,rt_hit_count,rt_type,rt_x1,rt_y1,rt_x2,rt_y2,rt_click_cx,rt_click_cy,rt_hotkey,rt_hotkey_name,rt_help,rt_origin
Resource_Breakdown__STUB,MoM/src/City_ovr55.c,2582,Resource_Breakdown__STUB,Add_Hidden_Field,var_8,"217, 166, 240, 175, str_hotkey_M__ovr055[0], ST_UNDEFINED",,0,0,,,,,,,,,,,
Resource_Breakdown__STUB,MoM/src/City_ovr55.c,2586,Resource_Breakdown__STUB,Add_Hidden_Field,var_6,"SCREEN_XMIN, SCREEN_YMIN, SCREEN_XMAX, SCREEN_YMAX, str_hotkey_ESC__ovr055[0], ST_UNDEFINED",,0,0,,,,,,,,,,,
